class, difficulty, helpfulness
ENG112 2 4
ENG254 3 4
MGMT497A 5 1
PSYCH900 3 3
NURSI212 4 3
ENGLW112 2 5
MICRO0 5 1
ENGWRITING112 3 3
LING201 5 1
PHIL160 2 5
ENGL379 3 5
GEOSCI100 5 1
MUSIC110 3 5
INTENSIVESP 2 4
LLAMS01 2 5
WOST290A 5 1
FIN404 3 3
AFROAM236 2 4
40347 1 5
BIO559 4 5
CW112H 2 5
EDUC229 1 5
CLASSICS300 4 5
ART385 2 3
POLSC203 2 5
SPAN101 4 2
ACCT222 1 5
SOM191T 2 5
HIST341 2 5
SPORT335 3 4
MUSAP117 3 5
COLLEGEWRITING 4 5
ENG131 1 5
ART104 1 5
CHINESE110 3 5
ECON103 2 1
KIN110 2 4
JOURNAL235 3 4
DANCE100 2 5
121H 2 3
LATIN110 2 5
POLYSCI121 3 2
STATS310 3 5
MICRO444 3 4
COMPSCI546 2 5
SPANISH240 3 5
ART-HIST314 4 4
PH323 3 5
MATH235 2 5
polisci203 4 5
